Depth_m,Vp_km/s,Vs_km/s,GammaRay_api,Density_g/cc,Caliper_m,Swt_v/v,Phit_v/v,Vsh_v/v
1893.97,3.37,1.95,57.22,2.43,0.22,1.00,0.15,0.41
1894.12,3.35,1.96,59.42,2.43,0.22,1.00,0.15,0.43
1894.27,3.35,1.96,60.45,2.43,0.22,1.00,0.16,0.44
1894.43,3.34,1.96,57.73,2.41,0.21,1.00,0.16,0.41
1894.58,3.33,1.96,54.14,2.40,0.21,1.00,0.17,0.38
1894.73,3.32,1.96,52.51,2.39,0.21,1.00,0.18,0.36
1894.88,3.32,1.98,50.26,2.38,0.21,1.00,0.18,0.34
1895.04,3.35,2.00,45.28,2.38,0.21,1.00,0.18,0.29
1895.19,3.39,2.00,41.34,2.39,0.21,1.00,0.18,0.25
1895.34,3.39,1.98,41.89,2.39,0.21,1.00,0.18,0.25
1895.49,3.36,1.96,46.35,2.39,0.21,1.00,0.18,0.30
1895.65,3.35,1.97,52.09,2.39,0.21,1.00,0.18,0.36
1895.80,3.38,1.99,54.98,2.37,0.21,1.00,0.18,0.39
1895.95,3.46,2.05,52.66,2.36,0.21,1.00,0.18,0.36
1896.10,3.54,2.12,47.41,2.35,0.21,1.00,0.19,0.31
1896.26,3.57,2.16,42.77,2.34,0.21,1.00,0.19,0.26
1896.41,3.58,2.19,40.06,2.35,0.21,1.00,0.19,0.24
1896.56,3.56,2.19,38.47,2.35,0.21,1.00,0.19,0.22
1896.71,3.53,2.18,37.52,2.35,0.21,1.00,0.19,0.21
1896.86,3.49,2.16,37.77,2.33,0.21,1.00,0.19,0.21
1897.02,3.45,2.13,38.02,2.32,0.21,1.00,0.18,0.21
1897.17,3.42,2.13,36.18,2.31,0.21,1.00,0.18,0.19
1897.32,3.45,2.14,32.87,2.31,0.21,1.00,0.16,0.16
1897.47,3.63,2.17,31.71,2.34,0.21,1.00,0.15,0.15
1897.63,4.02,2.23,36.39,2.41,0.21,1.00,0.13,0.20
1897.78,4.44,2.39,45.05,2.51,0.21,1.00,0.11,0.29
1897.93,4.62,2.58,51.64,2.60,0.21,1.00,0.09,0.35
1898.08,4.36,2.66,54.37,2.62,0.21,1.00,0.09,0.38
1898.24,3.98,2.57,55.03,2.58,0.21,1.00,0.09,0.39
